City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
191,ponta delgada,37.7333,-25.6667,20.4,83,20,3.09,PT,1700749384
192,richards bay,-28.783,32.0377,27.55,78,23,2.67,ZA,1700749555
193,pitimbu,-7.4706,-34.8086,31.33,59,80,5.49,BR,1700749555
194,puerto ayora,-0.7393,-90.3518,26.98,95,98,3.58,EC,1700749489
195,praia,14.9215,-23.5087,32.3,43,0,8.75,CV,1700749555
196,vilyuchinsk,52.9306,158.4028,-3.37,84,100,1.77,RU,1700749555
197,atasu,48.6814,71.6433,0.67,93,100,8.8,KZ,1700749556
198,san fernando,15.0286,120.6898,27.85,82,78,1.79,PH,1700749404
199,port mathurin,-19.6833,63.4167,25.15,73,92,10.59,MU,1700749556
200,bredy,52.4153,60.3411,-6.42,78,100,7.85,RU,1700749556
201,saint-philippe,-21.3585,55.7679,24.77,86,100,6.92,RE,1700749556
202,balikpapan,-1.2675,116.8289,25.55,94,20,1.03,ID,1700749556
203,hays,30.0502,-98.0336,9.6,73,100,0.45,US,1700749556
204,saint augustine,29.8947,-81.3145,15.05,79,0,2.57,US,1700749556
205,buncrana,55.1333,-7.45,10.87,82,100,8.92,IE,1700749556
206,martapura,-3.4167,114.85,25.05,94,40,2.06,ID,1700749556
207,gizo,-8.103,156.8419,27.14,81,100,3.52,SB,1700749556
208,dhidhdhoo,6.8833,73.1,27.68,76,100,1.01,MV,1700749557
209,onega,63.9061,38.1404,-11.0,88,10,6.17,RU,1700749557
210,constantia,44.1833,28.65,7.61,61,100,5.09,RO,1700749501
211,dubti,11.7361,41.0853,34.34,25,23,3.91,ET,1700749557
212,martinopolis,-22.1458,-51.1708,23.62,90,100,1.94,BR,1700749557
213,selfoss,63.9331,-20.9971,-3.86,75,5,1.85,IS,1700749557
214,gazojak,41.1875,61.4036,12.96,33,24,7.67,TM,1700749557
215,mitu,1.1983,-70.1733,29.22,68,100,1.39,CO,1700749557
216,vila franca do campo,37.7167,-25.4333,20.23,99,7,3.08,PT,1700749557
217,luderitz,-26.6481,15.1594,24.07,57,8,11.73,NA,1700749557
218,cambria,35.5641,-121.0808,16.45,54,79,2.32,US,1700749558
219,conde,-7.2597,-34.9075,30.7,55,75,4.63,BR,1700749558
220,chonchi,-42.6128,-73.8092,11.56,55,14,1.83,CL,1700749558
221,kikwit,-5.041,18.8162,23.18,88,100,0.34,CD,1700749558
222,fort bragg,35.139,-79.006,11.01,73,0,2.68,US,1700749558
223,hengyang,26.8881,112.615,17.96,49,82,4.06,CN,1700749558
224,camiri,-20.05,-63.5167,22.88,88,100,0.0,BO,1700749558
225,lihue,21.9789,-159.3672,23.53,89,100,4.66,US,1700749558
226,jamaame,0.0697,42.745,29.13,66,100,5.25,SO,1700749558
227,chernyshevskiy,63.0128,112.4714,-25.53,99,97,1.45,RU,1700749558
228,thabazimbi,-24.5917,27.4116,36.78,21,95,2.06,ZA,1700749559
229,ironwood,46.4547,-90.171,-3.58,68,100,5.66,US,1700749559
230,kill devil hills,36.0307,-75.676,11.66,74,0,5.14,US,1700749559
231,khartoum,15.5518,32.5324,35.77,19,28,6.45,SD,1700749559
232,freeport,40.6576,-73.5832,8.95,66,0,10.8,US,1700749559
233,jaguaruna,-28.615,-49.0256,20.18,95,100,4.06,BR,1700749559
234,bria,6.5423,21.9863,32.98,37,34,1.62,CF,1700749559
235,amursk,50.2261,136.8994,-12.23,65,100,6.2,RU,1700749559
236,el salto,20.3333,-104.5,12.37,95,100,1.51,MX,1700749559
237,pangai,-19.8,-174.35,24.8,75,34,3.9,TO,1700749560
238,mana,5.6592,-53.7767,29.1,72,11,4.06,GF,1700749560
239,ambagarh chauki,20.7833,80.7167,22.0,57,0,0.88,IN,1700749560
240,twon-brass,4.3151,6.2418,27.56,72,100,3.62,NG,1700749560
241,rantauprapat,2.1,99.8333,24.2,98,100,0.94,ID,1700749560
242,vila velha,-20.3297,-40.2925,32.97,55,0,6.17,BR,1700749345
243,cooper's town,26.8667,-77.5167,24.63,82,97,4.64,BS,1700749560
244,egilsstadir,65.2653,-14.3948,-3.05,63,75,2.57,IS,1700749560
245,anyang,36.0994,114.3289,1.02,22,0,1.29,CN,1700749533
246,ancud,-41.8697,-73.8203,13.03,62,0,1.72,CL,1700749560
247,chernyshevsk,52.5243,117.0174,-23.18,84,7,1.54,RU,1700749296
248,kubinka,55.5839,36.69,-9.0,90,100,6.11,RU,1700749500
249,sisimiut,66.9395,-53.6735,-7.69,64,4,3.71,GL,1700749561
250,carlet,39.2333,-0.5167,21.55,25,0,0.45,ES,1700749561
251,kapuskasing,49.4169,-82.4331,-10.95,85,20,4.63,CA,1700749561
252,harper,4.375,-7.7169,27.89,77,89,3.16,LR,1700749561
253,prince albert,53.2001,-105.7677,-20.03,84,20,4.63,CA,1700749561
254,necochea,-38.5473,-58.7368,21.08,31,1,7.01,AR,1700749561
255,porto velho,-8.7619,-63.9039,28.03,65,0,1.03,BR,1700749340
256,alenquer,-1.9417,-54.7383,32.01,51,100,3.11,BR,1700749561
257,mathba,22.2855,89.9629,19.83,57,0,1.15,BD,1700749562
258,kovel,51.2153,24.7087,2.36,81,100,11.48,UA,1700749562
259,pozega,45.3403,17.6853,6.54,73,70,0.97,HR,1700749562
260,wynyard,-41.0,145.7167,14.68,95,63,4.34,AU,1700749562
261,fada,9.5667,8.3,32.01,31,90,1.98,NG,1700749562
262,chato,-2.6378,31.7669,25.47,61,64,2.53,TZ,1700749562
263,tazacorte,28.629,-17.9293,23.97,70,20,3.13,ES,1700749562
264,pirajui,-21.9986,-49.4572,26.71,70,100,3.65,BR,1700749562
265,inhambane,-23.865,35.3833,32.99,46,0,4.12,MZ,1700749563
266,piacabucu,-10.4056,-36.4344,30.23,53,3,6.26,BR,1700749563
267,tiksi,71.6872,128.8694,-32.41,100,55,1.59,RU,1700749563
268,dubovka,49.0583,44.829,-4.47,62,57,6.03,RU,1700749563
269,sweetwater,25.7634,-80.3731,23.89,86,100,4.63,US,1700749563
270,happy valley-goose bay,53.3168,-60.3315,0.17,80,100,5.66,CA,1700749563
271,walvis bay,-22.9575,14.5053,18.94,61,37,8.53,NA,1700749563
272,hoeryong,42.4428,129.7508,-6.32,61,21,8.32,KP,1700749563
273,prineville,44.2999,-120.8345,3.95,89,16,0.89,US,1700749563
274,san luis de la loma,17.2706,-100.8939,23.59,88,100,1.45,MX,1700749564
275,tanjungbalai,2.9667,99.8,25.03,92,98,2.62,ID,1700749564
276,saguenay,48.4168,-71.0657,0.6,85,100,3.6,CA,1700749564
277,cockburn town,21.4612,-71.1419,26.78,68,9,4.31,TC,1700749564
278,santa cecilia,-26.9608,-50.4269,20.38,89,100,0.96,BR,1700749564
279,strelka,58.0728,93.0344,-15.48,91,58,3.1,RU,1700749444
280,ruidoso,33.3317,-105.673,3.62,55,0,1.54,US,1700749564
281,new norfolk,-42.7826,147.0587,12.72,99,15,0.88,AU,1700749564
282,okha,53.5739,142.9478,-9.31,78,100,7.91,RU,1700749564
283,revda,56.801,59.9303,-8.9,91,100,4.7,RU,1700749565
284,hakha,22.65,93.6167,10.08,97,11,0.46,MM,1700749565
285,rheinstetten,48.9667,8.3,8.45,81,62,4.67,DE,1700749565
286,meiktila,20.8667,95.8667,21.12,79,2,2.74,MM,1700749565
287,vila do maio,15.1333,-23.2167,32.44,74,4,5.79,CV,1700749565
288,arhavi,41.3492,41.3069,12.95,94,100,5.33,TR,1700749565
289,ketchikan,55.3422,-131.6461,6.99,100,100,3.6,US,1700749565
290,cameron,26.117,-97.5169,11.11,87,100,3.6,US,1700749226
291,karungdong,5.8844,121.263,27.66,82,7,1.7,PH,1700749566
292,miguel ahumada,30.6167,-106.5167,6.41,38,0,2.1,MX,1700749566
293,westport,41.1415,-73.3579,8.9,71,75,4.02,US,1700749566
294,axim,4.8699,-2.2405,29.39,68,100,3.36,GH,1700749566
295,alto barinas,8.5931,-70.2261,29.14,64,24,2.01,VE,1700749566
296,ilhabela,-23.7781,-45.3581,29.67,69,82,2.07,BR,1700749566
297,sedro-woolley,48.5039,-122.2361,6.94,89,0,2.57,US,1700749566
298,mahina,-17.5065,-149.489,24.87,88,40,1.54,PF,1700749566
299,aykhal,66.0,111.5,-26.61,100,100,1.93,RU,1700749567
300,puerto armuelles,8.2833,-82.8667,27.87,82,47,3.13,PA,1700749567
301,blackpool,53.8167,-3.05,13.52,88,40,11.32,GB,1700749567
302,tra vinh,9.9347,106.3453,25.04,87,100,2.84,VN,1700749567
303,paphos,34.7667,32.4167,21.88,56,41,2.57,CY,1700749236
304,jinghong,21.991,100.7341,18.9,85,1,1.02,CN,1700749567
305,dryden,49.7833,-92.7503,-14.84,66,20,4.12,CA,1700749567
306,shache,38.4167,77.2406,7.62,29,28,2.65,CN,1700749567
307,santana,-0.0583,-51.1817,33.1,58,40,5.14,BR,1700749567
308,harstad,68.799,16.5293,0.09,96,100,4.02,NO,1700749371
309,khorixas,-20.3667,14.9667,33.0,27,83,4.02,NA,1700749567
310,lobujya,27.95,86.8167,-12.24,89,80,1.06,NP,1700749568
311,lata,40.1629,-8.3327,18.93,33,68,1.26,PT,1700749568
312,grand falls-windsor,48.9332,-55.6649,-3.61,88,65,2.69,CA,1700749568
313,dunedin,-45.8742,170.5036,8.78,81,100,6.71,NZ,1700749568
314,broome,42.2506,-75.833,4.38,83,100,2.06,US,1700749568
315,itoman,26.1247,127.6694,23.01,68,40,7.2,JP,1700749568
316,namibe,-15.1961,12.1522,25.45,76,39,8.5,AO,1700749568
317,pahrump,36.2083,-115.9839,10.73,29,100,1.25,US,1700749568
318,shakawe,-18.3667,21.85,32.94,29,47,3.93,BW,1700749569
319,mount gambier,-37.8333,140.7667,14.9,84,100,3.39,AU,1700749569
320,trincomalee,8.5711,81.2335,27.49,73,16,3.55,LK,1700749569
321,guerrero negro,27.9769,-114.0611,17.0,74,66,1.62,MX,1700749569
322,fort mcmurray,56.7268,-111.381,-9.23,85,100,2.57,CA,1700749569
323,tabou,4.423,-7.3528,28.42,75,95,3.36,CI,1700749569
324,tobruk,32.0836,23.9764,22.35,37,74,2.34,LY,1700749569
325,luanda,-8.8368,13.2343,24.0,88,75,2.57,AO,1700749569
326,wewak,-3.5534,143.6268,26.82,86,72,4.01,PG,1700749569
327,ciudad lazaro cardenas,17.9583,-102.2,23.37,90,100,3.2,MX,1700749570
328,vernon,50.2581,-119.2691,-0.39,87,72,0.89,CA,1700749570
329,hithadhoo,-0.6,73.0833,26.64,84,100,6.25,MV,1700749570
330,mushie,-3.0167,16.9,24.08,93,100,0.89,CD,1700749570
331,chibougamau,49.9168,-74.3659,-5.21,93,100,2.06,CA,1700749570
332,taulaga,-11.0553,-171.0883,27.67,74,100,2.26,AS,1700749570
333,ravar,31.2656,56.8055,12.91,24,90,1.73,IR,1700749570
334,vadso,70.0744,29.7487,-3.91,86,100,7.72,NO,1700749570
335,hirara,24.8,125.2833,22.92,78,40,7.72,JP,1700749570
336,mersa matruh,31.3525,27.2453,23.11,56,20,4.63,EG,1700749571
337,ghat,24.9647,10.1728,23.68,16,0,0.68,LY,1700749571
338,sorong,-0.8833,131.25,27.58,83,79,4.27,ID,1700749571
339,stendal,52.6,11.85,11.1,86,100,4.02,DE,1700749571
340,hotan,37.0997,79.9269,5.7,26,0,2.65,CN,1700749571
341,kurchatov,51.6601,35.6521,-4.77,57,100,7.91,RU,1700749571
342,smithers,54.7804,-127.1743,-1.82,93,100,1.54,CA,1700749571
343,smolensk,55.0,33.0,-5.78,89,100,6.94,RU,1700749244
344,lom sak,16.7798,101.2422,21.27,79,14,1.86,TH,1700749571
345,igrim,63.1906,64.4162,-7.31,94,100,3.72,RU,1700749571
346,salamanca,40.8333,-6.0,10.88,39,0,5.99,ES,1700749316
347,labytnangi,66.6572,66.4183,-10.67,95,100,6.19,RU,1700749385
348,tarnogskiy gorodok,60.4997,43.5761,-14.59,97,31,1.34,RU,1700749572
349,aliwal north,-30.6937,26.7114,36.82,11,71,7.01,ZA,1700749572
350,behbahan,30.5959,50.2417,17.91,42,100,2.17,IR,1700749572
351,newcastle,-32.9272,151.7765,20.4,97,100,2.57,AU,1700749425
352,saint-francois,46.4154,3.9054,7.03,82,100,3.09,FR,1700749572
353,mar del plata,-38.0023,-57.5575,23.24,27,0,5.14,AR,1700748954
354,rikaze,29.25,88.8833,0.04,13,0,1.18,CN,1700749572
355,pauini,-7.7136,-66.9764,33.46,47,100,1.47,BR,1700749572
356,mont-laurier,46.5501,-75.4993,-0.21,89,100,1.6,CA,1700749572
357,dahab,28.501,34.5134,26.21,41,39,2.11,EG,1700749573
358,isangel,-19.55,169.2667,21.77,80,19,4.91,VU,1700749573
359,buarcos,40.166,-8.8768,18.19,41,36,1.44,PT,1700749573
360,kapa'a,22.0752,-159.319,23.94,88,100,2.24,US,1700749573
361,antofagasta,-23.65,-70.4,19.6,62,96,3.35,CL,1700749482
362,waajid,3.8096,43.2463,31.15,42,99,5.23,SO,1700749573
